Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;2003/10/02 10:00:00.000;CAC 40;FCEV3^0;3001.4236327404233;3003.2852693555515;2995.373313741257;2998.631177817731;2998.631177817731;2860;0;3600000
Bar;1;2003/10/02 11:00:00.000;CAC 40;FCEV3^0;2998.1657686639487;3003.7506785093333;2988.392176434526;2991.184631357218;2991.184631357218;3090;0;3600000
Bar;1;2003/10/02 12:00:00.000;CAC 40;FCEV3^0;2990.7192222034364;2994.442495433693;2979.5494025126673;2979.5494025126673;2979.5494025126673;8727;0;3600000
Bar;1;2003/10/02 13:00:00.000;CAC 40;FCEV3^0;2979.083993358885;2986.065130665616;2971.1720377445904;2985.134312358052;2985.134312358052;11355;0;3600000
Bar;1;2003/10/02 14:00:00.000;CAC 40;FCEV3^0;2985.134312358052;2995.373313741257;2965.1217187454235;2971.1720377445904;2971.1720377445904;16646;0;3600000
Bar;1;2003/10/02 15:00:00.000;CAC 40;FCEV3^0;2971.637446898372;2981.4110391277954;2968.379582821898;2979.083993358885;2979.083993358885;6810;0;1800000
Bar;1;2003/10/03 07:00:00.000;CAC 40;FCEV3^0;2984.6689032042696;2999.096586971513;2978.153175051321;2995.373313741257;2995.373313741257;7110;0;3600000
Bar;1;2003/10/03 08:00:00.000;CAC 40;FCEV3^0;2995.373313741257;3004.2160876631156;2992.1154496647823;2996.769541202603;2996.769541202603;9057;0;3600000
Bar;1;2003/10/03 09:00:00.000;CAC 40;FCEV3^0;2996.769541202603;3018.643771430359;2996.769541202603;3016.316725661449;3016.316725661449;9974;0;3600000
Bar;1;2003/10/03 10:00:00.000;CAC 40;FCEV3^0;3015.8513165076665;3017.247543969013;3007.008542585808;3007.4739517395897;3007.4739517395897;2575;0;3600000
Bar;1;2003/10/03 11:00:00.000;CAC 40;FCEV3^0;3007.4739517395897;3022.8324538143975;3007.008542585808;3018.178362276577;3018.178362276577;2614;0;3600000
Bar;1;2003/10/03 12:00:00.000;CAC 40;FCEV3^0;3018.178362276577;3056.8073220404867;3011.197224969846;3053.5494579640126;3053.5494579640126;21071;0;3600000
Bar;1;2003/10/03 13:00:00.000;CAC 40;FCEV3^0;3053.5494579640126;3063.3230501934354;3049.360775579974;3055.8765037329226;3055.8765037329226;12531;0;3600000
Bar;1;2003/10/03 14:00:00.000;CAC 40;FCEV3^0;3055.8765037329226;3074.958279037987;3048.895366426192;3073.0966424228586;3073.0966424228586;19525;0;3600000
Bar;1;2003/10/03 15:00:00.000;CAC 40;FCEV3^0;3073.0966424228586;3076.819915653115;3067.046323423692;3072.1658241152945;3072.1658241152945;7914;0;1800000
Bar;1;2003/10/06 07:00:00.000;CAC 40;FCEV3^0;3067.977141731256;3070.769596653948;3053.0840488102303;3056.341912886705;3056.341912886705;6754;0;3600000
Bar;1;2003/10/06 08:00:00.000;CAC 40;FCEV3^0;3056.8073220404867;3067.511732577474;3054.9456854253585;3061.9268227320895;3061.9268227320895;3660;0;3600000
